GenNHS_ID	GenNHS_Code_Key	GenNHS_Name	OverrideGenNHS_Name	ChemistListPrice_Amt	MoleculeGroup_Name	GenNhsSubGroup_Name	GenNhsSubGroup_ID	EffectiveFromCalendarPeriod_Number	EffectiveToCalendarPeriod_Number	AuditJob_ID	AuditCreate_Date	AuditUpdate_Date	AuditModify_Flag	AuditSource_Code	OverrideGenNHS_Code_Description
883	CETU3	CETUXIMAB.	NULL	1774.94	CETUXIMAB	CETUXIMAB.	318	NULL	NULL	5700648	2011-04-09 00:00:00.000	2014-07-25 11:44:38.833	U	DW	NULL
884	CETU4	CETUXIMAB	NULL	NULL	CETUXIMAB	CETUXIMAB	317	NULL	NULL	5700648	2011-12-01 00:00:00.000	2014-07-25 11:44:38.833	U	DW	NULL
885	CEX1	CEFTRIAXONE	NULL	14.0818	CEFTRIAXONE	CEFTRIAXONE	306	NULL	NULL	5695167	2011-04-09 00:00:00.000	2014-07-24 14:22:44.980	U	DW	NULL
886	CF01	CEFOTAXIME	NULL	45.3909		CEFOTAXIME	300	NULL	NULL	5695167	2011-04-09 00:00:00.000	2014-07-24 14:22:44.980	U	DW	NULL
887	CF07	CEFOTAXIME	NULL	84.00		CEFOTAXIME	300	NULL	NULL	5695167	2011-04-09 00:00:00.000	2014-07-24 14:22:44.980	U	DW	NULL
888	CF50	CEFOTETAN	NULL	151.4273		CEFOTETAN	301	NULL	NULL	5695167	2011-04-09 00:00:00.000	2014-07-24 14:22:44.980	U	DW	NULL
889	CF51	CEFOTETAN	NULL	151.4273		CEFOTETAN	301	NULL	NULL	5695167	2011-04-09 00:00:00.000	2014-07-24 14:22:44.980	U	DW	NULL
890	CF57	CEFOTETAN	NULL	262.32		CEFOTETAN	301	NULL	NULL	5695167	2011-04-09 00:00:00.000	2014-07-24 14:22:44.980	U	DW	NULL
891	CF58	CEFOTETAN	NULL	262.32		CEFOTETAN	301	NULL	NULL	5695167	2011-04-09 00:00:00.000	2014-07-24 14:22:44.980	U	DW	NULL
892	CF99	CEFACLOR	NULL	3.7565	CEFACLOR	CEFACLOR	296	201303	NULL	5700648	2011-04-09 00:00:00.000	2014-07-25 11:44:38.833	U	DW	NULL
893	CFC1	CEFACLOR	NULL	9.1364		CEFACLOR	296	NULL	NULL	5700648	2011-04-09 00:00:00.000	2014-07-25 11:44:38.833	U	DW	NULL
894	CFC2	CEFACLOR	NULL	4.0261	CEFACLOR	CEFACLOR	296	201303	NULL	5700648	2011-04-09 00:00:00.000	2014-07-25 11:44:38.833	U	DW	NULL
895	CFI1	CEFTRIAXONE	NULL	8.9727		CEFTRIAXONE	306	NULL	NULL	5695167	2011-04-09 00:00:00.000	2014-07-24 14:22:44.980	U	DW	NULL
896	CFI7	CEFTRIAXONE	NULL	6.20		CEFTRIAXONE	306	NULL	NULL	5695167	2011-04-09 00:00:00.000	2014-07-24 14:22:44.980	U	DW	NULL
897	CFT1	CEFTRIAXONE	NULL	6.20		CEFTRIAXONE	306	NULL	NULL	5695167	2011-04-09 00:00:00.000	2014-07-24 14:22:44.980	U	DW	NULL
5175	CFVM1	CARB/FAT/VIT/MIN/TRACE/ARAC/DO	NULL	NULL		CARB/FAT/VIT/MIN/TRACE/ARAC/DO	276	NULL	NULL	5700648	2014-03-02 00:00:00.000	2014-07-25 11:44:38.833	U	DW	NULL
5176	CFVM2	CARB/FAT/VIT/MIN/TRACE/ARAC/DO	NULL	NULL		CARB/FAT/VIT/MIN/TRACE/ARAC/DO	276	NULL	NULL	5700648	2014-03-02 00:00:00.000	2014-07-25 11:44:38.833	U	DW	NULL
898	CH42	CHLORTETRACYCLINE	NULL	2.60		CHLORTETRACYCLINE	333	NULL	NULL	5700648	2011-04-09 00:00:00.000	2014-07-25 11:44:38.833	U	DW	NULL
899	CH45	CHLORAMPHENICOL	NULL	25.70		CHLORAMPHENICOL	322	NULL	NULL	5700648	2011-04-09 00:00:00.000	2014-07-25 11:44:38.833	U	DW	NULL
900	CH54	CHLORPROMAZINE	NULL	12.2261	CHLORPROMAZINE	CHLORPROMAZINE	331	NULL	NULL	5700648	2011-04-09 00:00:00.000	2014-07-25 11:44:38.833	U	DW	NULL
901	CH55	CHLORHEXIDINE	NULL	4.7565		CHLORHEXIDINE	325	NULL	NULL	5700648	2011-04-09 00:00:00.000	2014-07-25 11:44:38.833	U	DW	NULL
902	CH65	CHLORTETRACYCLINE	NULL	3.39	CHLORTETRACYCLINE	CHLORTETRACYCLINE	333	NULL	NULL	5700648	2011-04-09 00:00:00.000	2014-07-25 11:44:38.833	U	DW	NULL
903	CH67	CHLORAMPHENICOL	NULL	12.90		CHLORAMPHENICOL	322	NULL	NULL	5700648	2011-04-09 00:00:00.000	2014-07-25 11:44:38.833	U	DW	NULL
904	CH68	CHLORMETHIAZOLE	NULL	12.15		CHLORMETHIAZOLE	327	NULL	NULL	5700648	2011-04-09 00:00:00.000	2014-07-25 11:44:38.833	U	DW	NULL
905	CH88	CHOLINE THEO	NULL	2.8091		CHOLINE THEO	340	NULL	NULL	5700648	2011-04-09 00:00:00.000	2014-07-25 11:44:38.833	U	DW	NULL
906	CH89	CHOLINE THEO	NULL	5.5035		CHOLINE THEO	340	NULL	NULL	5700648	2011-04-09 00:00:00.000	2014-07-25 11:44:38.833	U	DW	NULL
907	CHA1	CEPHAZOLIN	NULL	5.99		CEPHAZOLIN	312	NULL	NULL	5695167	2011-04-09 00:00:00.000	2014-07-24 14:22:44.980	U	DW	NULL
908	CHA9	CHARCOAL ACTIVATED	NULL	15.00		CHARCOAL ACTIVATED	320	NULL	NULL	5700648	2011-04-09 00:00:00.000	2014-07-25 11:44:38.833	U	DW	NULL
909	CHAR2	CHARCOAL	NULL	9.76		CHARCOAL	319	NULL	NULL	5700648	2011-04-09 00:00:00.000	2014-07-25 11:44:38.833	U	DW	NULL
910	CHB2	CHLORAMBUCIL	NULL	29.90	CHLORAMBUCIL	CHLORAMBUCIL	321	NULL	NULL	5700648	2011-04-09 00:00:00.000	2014-07-25 11:44:38.833	U	DW	NULL
911	CHB5	CHLORAMBUCIL	NULL	18.70		CHLORAMBUCIL	321	NULL	NULL	5700648	2011-04-09 00:00:00.000	2014-07-25 11:44:38.833	U	DW	NULL
